Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordonnee_X;coordonnee_Y;epsg;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;etablissement_multi_lignes;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_bassin_formation;libelle_bassin_formation
0310325K;Ecole élémentaire publique;Ecole;Public;Place de l'Hôtel de Ville;;31370 BERAT;31370;31065;Bérat;031;16;76;0;1;;;;0534478713;;;ce.0310325K@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21310065400036;209;;43.37980829895309,1.1753198625272927;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;552069.8;6255118.0;EPSG:2154;Circonscription d'inspection du 1er degré de Fonsorbes;43.37980829895309;1.1753198625272927;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312697N;;;16107;MURET
0310334V;Ecole primaire publique;Ecole;Public;2 chemin de Meingette;;31350 BLAJAN;31350;31070;Blajan;031;16;76;1;1;;;;0561881448;;;ce.0310334V@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310070400021;28;;43.258832756072394,0.6439794703294577;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;508603.2;6242816.3;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Gaudens;43.258832756072394;0.6439794703294577;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310003K;;;16106;COMMINGES
0310340B;Ecole élémentaire publique;Ecole;Public;Village;;31210 BORDES DE RIVIERE;31210;31076;Bordes-de-Rivière;031;16;76;0;1;;;;0950496828;;;ce.0310340B@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310076100021;27;;43.110964453197134,0.6346898509910774;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;507356.4;6226407.0;EPSG:2154;Circonscription d'inspection du 1er degré de Montréjeau;43.110964453197134;0.6346898509910774;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031058;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310005M;;;16106;COMMINGES
0310345G;Ecole élémentaire publique;Ecole;Public;Passage des Ecoles;;31620 BOULOC;31620;31079;Bouloc;031;16;76;0;1;;;;0972103861;;;ce.0310345G@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21310079500029;319;;43.78088738605556,1.4059398412336936;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;571663.7;6299280.9;EPSG:2154;Circonscription d'inspection du 1er degré de Fronton;43.78088738605556;1.4059398412336936;Rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311689T;;;16127;TOULOUSE NORD-OUEST
0310354S;Ecole élémentaire publique;Ecole;Public;Place de la Mairie;;31470 BRAGAYRAC;31470;31087;Bragayrac;031;16;76;0;1;;;;0562205138;;;ce.0310354S@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310087800023;21;;43.48227619023946,1.0697894417839156;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;543794.3;6266707.7;EPSG:2154;Circonscription d'inspection du 1er degré de Fonsorbes;43.48227619023946;1.0697894417839156;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031006;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312338Y;;;16108;TOULOUSE SUD-OUEST
0310361Z;Ecole élémentaire publique Jean-Loup Chrétien;Ecole;Public;2 chemin des Demoiselles;;31330 LE BURGAUD;31330;31093;Le Burgaud;031;16;76;0;1;;;;0561821873;;;ce.0310361Z@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310093600029;115;;43.793870254057865,1.1630957324864013;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;552149.4;6301148.0;EPSG:2154;Circonscription d'inspection du 1er degré de Leguevin;43.793870254057865;1.1630957324864013;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031038;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310008R;;;16127;TOULOUSE NORD-OUEST
0310375P;Ecole primaire publique;Ecole;Public;1 rue des Ecoles;;31410 CAPENS;31410;31104;Capens;031;16;76;1;1;;;;0561879134;;;ce.0310375P@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310104100027;90;;43.3352489370364,1.2572794286369102;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;558604.0;6250015.9;EPSG:2154;Circonscription d'inspection du 1er degré de Rieux-Volvestre;43.3352489370364;1.2572794286369102;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311580Z;;;16107;MURET
0310378T;Ecole élémentaire publique Pierre-Paul Riquet;Ecole;Public;Avenue des Sports;;31460 CARAMAN;31460;31106;Caraman;031;16;76;0;1;;;;0561831186;;;ce.0310378T@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310106600032;166;;43.527005597702434,1.7614604160964316;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;599841.1;6270555.5;EPSG:2154;Circonscription d'inspection du 1er degré de Lanta;43.527005597702434;1.7614604160964316;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311690U;;;16128;TOULOUSE EST
0310404W;Ecole élémentaire publique;Ecole;Public;Route de Cintegabelle;;31190 CAUJAC;31190;31128;Caujac;031;16;76;0;1;;;;0561065828;;;ce.0310404W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310128000021;104;;43.29938924717873,1.4790544755985855;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;576518.6;6245658.5;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.29938924717873;1.4790544755985855;Rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031041;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310084Y;;;16107;MURET
0310412E;Ecole élémentaire publique;Ecole;Public;Village;;31290 CESSALES;31290;31137;Cessales;031;16;76;0;1;;;;0561833018;;;ce.0310412E@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310137100028;20;;43.45790768398083,1.7406901425434793;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;598039.1;6262902.9;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.45790768398083;1.7406901425434793;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031042;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311634H;;;16128;TOULOUSE EST
0310418L;Ecole primaire publique;Ecole;Public;Village;;31350 CIADOUX;31350;31141;Ciadoux;031;16;76;1;1;;;;0561886725;;;ce.0310418L@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310141300028;55;;43.26017070891618,0.7369804301874311;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;516160.5;6242744.0;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Gaudens;43.26017070891618;0.7369804301874311;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;1;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310003K;;;16106;COMMINGES
0310432B;Ecole élémentaire publique Hélène Boucher;Ecole;Public;10 chemin des carrières;;31770 COLOMIERS;31770;31149;Colomiers;031;16;76;0;1;;;;0561635049;;;ce.0310432B@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310149600247;300;;43.61652040796374,1.3366699566955198;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;565702.9;6281133.4;EPSG:2154;Circonscription d'inspection du 1er degré de Colomiers;43.61652040796374;1.3366699566955198;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311325X;;;16127;TOULOUSE NORD-OUEST
0310433C;Ecole primaire publique Les Monges;Ecole;Public;2 avenue Henri Guillaumet;;31700 CORNEBARRIEU;31700;31150;Cornebarrieu;031;16;76;1;1;;;;0536477846;;;ce.0310433C@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310150400081;314;;43.6460197027537,1.3178705229490002;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;564255.1;6284443.3;EPSG:2154;Circonscription d'inspection du 1er degré de Blagnac;43.6460197027537;1.3178705229490002;Rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312423R;;;16127;TOULOUSE NORD-OUEST
0310434D;Ecole primaire publique Les Ambrits;Ecole;Public;26 chemin des Ambrits;;31700 CORNEBARRIEU;31700;31150;Cornebarrieu;031;16;76;1;1;;;;0532536913;;;ce.0310434D@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310150400032;259;;43.65303293532015,1.3198202582086158;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;564429.0;6285219.2;EPSG:2154;Circonscription d'inspection du 1er degré de Blagnac;43.65303293532015;1.3198202582086158;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312423R;;;16127;TOULOUSE NORD-OUEST
0310442M;Ecole élémentaire publique Jean Jaurès;Ecole;Public;7 avenue de Toulouse;;31270 CUGNAUX;31270;31157;Cugnaux;031;16;76;0;1;;;;0561923813;;;ce.0310442M@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310157900042;254;;43.53806268672797,1.343839449132793;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;566098.8;6272403.2;EPSG:2154;Circonscription d'inspection du 1er degré de Portet sur Garonne;43.53806268672797;1.343839449132793;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311093V;;;16108;TOULOUSE SUD-OUEST
0310447T;Ecole primaire publique;Ecole;Public;Chemin du Ruisseau de Fontbazi;;31450 DONNEVILLE;31450;31162;Donneville;031;16;76;1;1;;;;0534667941;;;ce.0310447T@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310162900045;112;;43.47187832855791,1.5507799427570899;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;582693.0;6264719.2;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.47187832855791;1.5507799427570899;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311573S;;;16128;TOULOUSE EST
0310469S;Ecole élémentaire publique Jean Monnet;Ecole;Public;Rue de la Laque;;31150 FENOUILLET;31150;31182;Fenouillet;031;16;76;0;1;;;;0561700163;;;ce.0310469S@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310182700029;212;;43.68122568695808,1.3929096865531652;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;570389.4;6288229.0;EPSG:2154;Circonscription d'inspection du 1er degré de Blagnac;43.68122568695808;1.3929096865531652;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312423R;;;16110;TOULOUSE NORD
0310475Y;Ecole élémentaire publique;Ecole;Public;Rue du 19 Mars 1962;;31470 FONTENILLES;31470;31188;Fontenilles;031;16;76;0;1;;;;0561919713;;;ce.0310475Y@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310188400020;255;;43.553012809938195,1.1875599055288988;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;553503.8;6274341.9;EPSG:2154;Circonscription d'inspection du 1er degré de Fonsorbes;43.553012809938195;1.1875599055288988;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312338Y;;;16108;TOULOUSE SUD-OUEST
0310496W;Ecole primaire publique;Ecole;Public;6 chemin Esperce;;31550 GAILLAC TOULZA;31550;31206;Gaillac-Toulza;031;16;76;1;1;;;;0561089122;;;ce.0310496W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310206400028;125;;43.25602212544196,1.4704003436251238;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;575722.7;6240852.0;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.25602212544196;1.4704003436251238;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310084Y;;;16107;MURET
0310517U;Ecole élémentaire publique;Ecole;Public;Place des Marronniers;;31120 GOYRANS;31120;31227;Goyrans;031;16;76;0;1;;;;0561764651;;;ce.0310517U@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310227000021;44;;43.48118462260681,1.4320503921167416;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;573104.2;6265937.0;EPSG:2154;Circonscription d'inspection du 1er degré de Portet sur Garonne;43.48118462260681;1.4320503921167416;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312611V;;;16107;MURET
0310519W;Ecole primaire publique Francis Sancerry;Ecole;Public;Village;;31430 GRATENS;31430;31229;Gratens;031;16;76;1;1;;;;0561983883;;;ce.0310519W@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310229600026;109;;43.32212017436459,1.1112704780359473;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;546724.8;6248829.3;EPSG:2154;Circonscription d'inspection du 1er degré de Rieux-Volvestre;43.32212017436459;1.1112704780359473;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311580Z;;;16106;COMMINGES
0310526D;Ecole primaire publique;Ecole;Public;Rue de la Gleisette;;31190 GREPIAC;31190;31233;Grépiac;031;16;76;1;1;;;;0561085780;;;ce.0310526D@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310233800026;132;;43.40391083169904,1.4493594750139047;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;574336.2;6257321.8;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.40391083169904;1.4493594750139047;Rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311573S;;;16107;MURET
0310530H;Ecole élémentaire publique;Ecole;Public;15 rue des Ecoles;;31210 HUOS;31210;31238;Huos;031;16;76;0;1;;;;0561957708;;;ce.0310530H@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310238700023;45;;43.076690236819765,0.5965295668105196;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;504133.4;6222691.9;EPSG:2154;Circonscription d'inspection du 1er degré de Montréjeau;43.076690236819765;0.5965295668105196;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031019;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310005M;;;16106;COMMINGES
0310543X;Ecole élémentaire publique Les Trois Moulins l'Ayguière;Ecole;Public;35 chemin des Ecoles;;31860 LABARTHE SUR LEZE;31860;31248;Labarthe-sur-Lèze;031;16;76;0;1;;;;0562116271;;;ce.0310543X@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310248600031;399;;43.45289427732003,1.3985898156430248;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;570332.8;6262847.5;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.45289427732003;1.3985898156430248;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311319R;;;16107;MURET
0310547B;Ecole primaire publique;Ecole;Public;Village;;31230 LABASTIDE PAUMES;31230;31251;Labastide-Paumès;031;16;76;1;1;;;;0561886534;;;ce.0310547B@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310251000020;12;;43.337419968596095,0.936320445070611;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;532574.7;6250884.8;EPSG:2154;Circonscription d'inspection du 1er degré de Rieux-Volvestre;43.337419968596095;0.936320445070611;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031063;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310003K;;;16106;COMMINGES
0310549D;Ecole élémentaire publique Jacques Prévert;Ecole;Public;10 rue des Ecoles;;31600 LABASTIDETTE;31600;31253;Labastidette;031;16;76;0;1;;;;0561561240;;;ce.0310549D@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310253600025;222;;43.46064948216908,1.2485598064407257;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;558205.8;6263967.2;EPSG:2154;Circonscription d'inspection du 1er degré de Fonsorbes;43.46064948216908;1.2485598064407257;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312697N;;;16107;MURET
0310557M;Ecole primaire publique;Ecole;Public;Village;;31290 LAGARDE;31290;31262;Lagarde;031;16;76;1;1;;;;0561270064;;;ce.0310557M@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310262700022;34;;43.34553000398724,1.7139399215332054;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;595670.0;6250448.0;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.34553000398724;1.7139399215332054;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031061;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311634H;;;16128;TOULOUSE EST
0310569A;Ecole élémentaire publique;Ecole;Public;13 chemin des Ecoles;;31570 LANTA;31570;31271;Lanta;031;16;76;0;1;;;;0561837500;;;ce.0310569A@ac-toulouse.fr;1;0;1;;;;;;;;;;;;;;;21310271800045;197;;43.562888426341246,1.6563398245760117;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;591408.8;6274682.1;EPSG:2154;Circonscription d'inspection du 1er degré de Lanta;43.562888426341246;1.6563398245760117;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311335H;;;16128;TOULOUSE EST
0310577J;Ecole élémentaire publique;Ecole;Public;Place du Village;;31800 LATOUE;31800;31278;Latoue;031;16;76;0;1;;;;0561988409;;;ce.0310577J@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310278300023;20;;43.168558197253326,0.7858895148144336;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;519847.1;6232450.6;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Gaudens;43.168558197253326;0.7858895148144336;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031020;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310003K;;;16106;COMMINGES
0310606R;Ecole maternelle publique;Ecole;Public;Village;;31800 LODES;31800;31302;Lodes;031;16;76;1;0;;;;0561892957;;;ce.0310606R@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310302100027;24;;43.16799443291834,0.6744899974152988;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;510783.7;6232648.5;EPSG:2154;Circonscription d'inspection du 1er degré de Montréjeau;43.16799443291834;0.6744899974152988;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031027;101;ECOLE MATERNELLE;99;0310005M;;;16106;COMMINGES
0310615A;Ecole maternelle publique Yves Serres;Ecole;Public;11 place de l'église;;31290 LUX;31290;31310;Lux;031;16;76;1;0;;;;0561834106;;;ce.0310615A@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310310400021;35;;43.43710066302559,1.7840504222152396;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;601513.9;6260535.4;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.43710066302559;1.7840504222152396;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031044;101;ECOLE MATERNELLE;99;0311634H;;;16128;TOULOUSE EST
0310648L;Ecole élémentaire publique;Ecole;Public;1 place de l'école;;31530 MENVILLE;31530;31338;Menville;031;16;76;0;1;;;;0561855332;;;ce.0310648L@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310338500026;97;;43.67628762934891,1.1921860365296824;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;554191.3;6288030.4;EPSG:2154;Circonscription d'inspection du 1er degré de Leguevin;43.67628762934891;1.1921860365296824;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031034;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310008R;;;16127;TOULOUSE NORD-OUEST
0310656V;Ecole élémentaire publique;Ecole;Public;Place Occitane;;31190 MIREMONT;31190;31345;Miremont;031;16;76;0;1;;;;0561506470;;;ce.0310656V@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310345000036;205;;43.36982109517476,1.4176601545113632;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;571691.7;6253584.2;EPSG:2154;Circonscription d'inspection du 1er degré de Villefranche de Lauragais;43.36982109517476;1.4176601545113632;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311573S;;;16107;MURET
0310683Z;Ecole élémentaire publique;Ecole;Public;Village;;31230 MONTESQUIEU GUITTAUT;31230;31373;Montesquieu-Guittaut;031;16;76;0;1;;;;0561882877;;;ce.0310683Z@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310373200029;13;;43.338177855255836,0.7735702034609778;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;519376.6;6251327.7;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Gaudens;43.338177855255836;0.7735702034609778;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031030;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0310003K;;;16106;COMMINGES
0310710D;Ecole primaire publique Bernard Maris;Ecole;Public;1 rue de l'église;;31600 MURET;31600;31395;Muret;031;16;76;1;1;;;;0562233739;;;ce.0310710D@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310395500067;102;;43.411431764467736,1.3087599694972079;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;562961.6;6258391.5;EPSG:2154;Circonscription d'inspection du 1er degré de Muret;43.411431764467736;1.3087599694972079;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311319R;;;16107;MURET
0310722S;Ecole primaire publique;Ecole;Public;366 chemin Saint-Papoul;;31450 ODARS;31450;31402;Odars;031;16;76;1;1;;;;0561279614;;;ce.0310722S@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310402900029;90;;43.52127885462146,1.5924501481023186;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;586163.5;6270148.1;EPSG:2154;Circonscription d'inspection du 1er degré de Castanet-Tolosan;43.52127885462146;1.5924501481023186;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311850T;;;16128;TOULOUSE EST
0310747U;Ecole primaire publique Marcel Pagnol;Ecole;Public;9 rue des Tilleuls;;31830 PLAISANCE DU TOUCH;31830;31424;Plaisance-du-Touch;031;16;76;1;1;;;;0561864277;;;ce.0310747U@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310424300059;454;;43.568323480595126,1.2966395373353894;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;562355.8;6275846.9;EPSG:2154;Circonscription d'inspection du 1er degré de Tournefeuille;43.568323480595126;1.2966395373353894;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312071H;;;16108;TOULOUSE SUD-OUEST
0310755C;Ecole élémentaire publique;Ecole;Public;Rue de la Tuilerie;;31450 POMPERTUZAT;31450;31429;Pompertuzat;031;16;76;0;1;;;;0561817659;;;ce.0310755C@ac-toulouse.fr;1;0;0;;;;;;;;;;;;;;;21310429200023;146;;43.48888376122075,1.5106201652895406;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;579478.3;6266669.5;EPSG:2154;Circonscription d'inspection du 1er degré de Castanet-Tolosan;43.48888376122075;1.5106201652895406;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0311850T;;;16128;TOULOUSE EST
0310802D;Ecole élémentaire publique;Ecole;Public;Village;;31370 SABONNERES;31370;31464;Sabonnères;031;16;76;0;1;;;;0561919699;;;ce.0310802D@ac-toulouse.fr;0;0;0;;;;;;;;;;;;;;;21310464900024;22;;43.46610767686934,1.0641900913344124;SANS OBJET;Haute-Garonne;Toulouse;Occitanie;543297.2;6264922.2;EPSG:2154;Circonscription d'inspection du 1er degré de Fonsorbes;43.46610767686934;1.0641900913344124;Numéro de rue;1965-11-15;2022-12-14;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;031006;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0312338Y;;;16107;MURET
